Position,Country,IDH,Language,Code,Long,Lat
171,Malawi,0.47700000000000004,Chichewa,ny,34.301525,-13.254308
172,Djibouti,0.47600000000000003,Arabic,ar,42.590275,11.825138
173,Ethiopia,0.46299999999999997,Amharic,am,40.489672999999996,9.145
174,Gambia,0.46,English,en,-15.310139000000001,13.443182
175,Guinea,0.45899999999999996,French,fr,-9.696645,9.945587
176,Democratic Republic of the Congo,0.457,Swahili,sw,21.758664000000003,-4.038333
177,Guinea-Bissau,0.455,Portuguese,pt,-15.180413,11.803749
178,Yemen,0.452,Arabic,ar,48.516388,15.552727
180,Mozambique,0.43700000000000006,Portuguese,pt,35.529562,-18.665695
181,Liberia,0.435,English,en,-9.429499,6.428055
182,Mali,0.42700000000000005,French,fr,-3.9961660000000006,17.570692
183,Burkina Faso,0.423,French,fr,-1.561593,12.238333
184,Sierra Leone,0.419,English,en,-11.779889,8.460555
185,Burundi,0.41700000000000004,Swahili,sw,29.918885999999997,-3.373056
186,Chad,0.40399999999999997,Arabic,ar,18.732207,15.454166
187,South Sudan,0.38799999999999996,Arabic,en,31.6,4.85
188,Central African Republic,0.36700000000000005,French,fr,20.939444,6.611111
189,Niger,0.354,Hausa,ha,8.081666,17.607789
